# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüssen
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschlussen.txt/download
# Dateigrösse (Angabe in Bytes): 69406
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter http://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss;Datum
5;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Rückstufung Planung Bahnhof durch Bund: Was sind die konkreten Folgen? Gibt es noch andere Überraschungen für die Stadt?;2018-70;Beschlossen;Kenntnis;15.02.2018
6;Kleine Anfrage Luzius Theiler (GaP): Nachträgliches Baugesuch der Stadt für die «City-Golf»-Löcher;2018-71;Beschlossen;Kenntnis;15.02.2018
7;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Offene Fragen Wettbewerbsverfahren Viererfeld: Ist der Wettbewerb mit der Planung mit dem Kanton abgesprochen und koordiniert? Ist der versprochene Park auch langfristig garantiert? Gibt es weitere Einschränkungen?;2018-72;Beschlossen;Kenntnis;15.02.2018
8;"Gebietsentwicklung Chantier Bümpliz Nord-West; Kredit";2018-73;Beschlossen;Bewilligung;15.02.2018
9;"Gesamtsanierung Volksschule Schwabgut; Projektierungskrediterhöhung";2018-74;Beschlossen;Bewilligung;15.02.2018
10;Dringliche interfraktionelle Motion GB/JA!, SP/JUSO, FDP/JF, BDP/CVP, AL/GaP/PdA, GLP/JGLP (Lea Bill, GB/Seraina Patzen, JA!/Marieke Kruit/Yasemin Cevik, SP/Claudine Esseiva, FDP/Philip Kohli, BDP/Christa Ammann, AL/Zora Schneider, PdA/Melanie Mettler, GLP): Cannabis-Pilotprojekt – jetzt erst recht!;2018-75;Beschlossen;Erheblicherkl. als Richtlinie;15.02.2018
11;"Interfraktionelle Motion GB/JA!, GLP (Hasim Sancar, GB/Claude Grosjean, GLP): Finanz-Oberaufsicht des Stadtrates stärken!; Abschreibung";2018-76;Beschlossen;Fristverl.;15.02.2018
12;Interfraktionelle Motion SVP, FDP, BDP/CVP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP/Claudio Fischer, CVP): Keine unzulässige Konkurrenzierung privater Anbieter – Tätigkeit der Stadtverwaltung strikte auf öffentliche Aufgaben beschränken;2018-77;Beschlossen;Ablehnung;15.02.2018
13;Interpellation Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Offene Rechtsfragen um die Reithalle: Handelt es sich hier um Beschaffung von Leistungen gemäss öffentlichem Beschaffungsrecht oder um Vergabe einer Subvention? Zahlt die Reitschule Steuern (Mehrwertsteuer und direkte Steuern)?;2018-78;Beschlossen;Kenntnis;15.02.2018
14;Interfraktionelles Postulat SVP, FDP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP/Matthias Stürmer, EVP): Städtische Aufgaben vermehrt auslagern;2018-79;Beschlossen;Ablehnung;15.02.2018
