# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüssen
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschlussen.txt/download
# Dateigrösse (Angabe in Bytes): 69406
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter http://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss;Datum
13;"I580-020, Fr. 900 000.00, Einführung Tempo-30-Zonen zum Schutz der Wohnquartiere Projektierungskredit; Kreditabrechnung";2018-214;Beschlossen;Bewilligung;03.05.2018
14;"Motion Fraktion BDP/CVP (Edith Leibundgut, CVP / Kurt Hirsbrunner, BDP): Bedürfnisgerechtes Angebot an Familiengärten in der Stadt Bern; Fristverlängerung Punkt 4 und 5";2018-215;Beschlossen;Fristverl.;03.05.2018
15;"Interfraktionelle Motion SP, BDP/CVP (Lea Kusano, SP/Kurt Hirsbrunner, BDP): Ja zur Schulwegsicherheit im Galgenfeld – Ja zur Lichtsignalanlage!; Fristverlängerung";2018-216;Beschlossen;Fristverl.;03.05.2018
16;"Postulat Fraktion GLP (Daniel Imthurn/Jürg Weder, GLP): öV-Verbindungen Bahnhof Weissenbühl-Paul-Klee-Zentrum und Länggasse-Bahnhof Wankdorf herstellen!; Fristverlängerung";2018-217;Beschlossen;Fristverl.;03.05.2018
17;"lnterfraktionelles Postulat SP/JUSO, GB/JA! (Stefan Jordi, SP/Stéphanie Penher, GB): Kleine Allmend: Keine Blechlawine auf der grünen Wiese!; Fristverlängerung";2018-218;Beschlossen;Fristverl.;03.05.2018
18;"Postulat Fraktion GB/JA! (Stéphanie Penher/Franziska Grossenbacher, GB): Parkplätze auf öffentlichem Grund um mindestens 10 Prozent reduzieren; Fristverlängerung";2018-219;Beschlossen;Fristverl.;03.05.2018
19;Motion Fraktion SP (Peter Marbet, SP): Erhalt des Kirchgemeindehauses Steigerhubel als Sozial- und Bildungszentrum, Fristverlängerung;2018-220;Beschlossen;Fristverl.;03.05.2018
20;"Postulat Fraktion SP (Fuat Köçer, SP): Die Jugend braucht für ihre Entfaltung genügend Raum; Fristverlängerung";2018-221;Beschlossen;Fristverl.;03.05.2018
21;"Motion Tania Espinoza Haller (GFL), Bettina Jans-Troxler (EVP), Sandra Ryser (GLP), Kurt Hirsbrunner (BDP), Claudio Fischer (CVP): Die Stadt Bern muss als Bundeshauptstadt Farbe bekennen: Das Zieglerspital soll möglichst rasch zum ersten (befristeten) Bundeszentrum für Asylsuchende (BZ) des Kantons Bern bestimmt werden; als rasche Zwischenlösung ist die Einrichtung eines städtischen Durchgangszentrums (DZ) ins Auge zu fassen; Begründungsbericht";2018-222;Beschlossen;Kenntnis;03.05.2018
22;"Interfraktionelle Motion Fraktionen GB/JA!, SP, BDP/CVP, AL/GPB-DA/PdA+ (Leena Schmitter, GB/Seraina Patzen, JA!/Michael Sutter, SP/Lionel Gaudy, BDP/Claudio Fischer, CVP/Christa Ammann, AL): Plätze aus der Notunterkunft Hochfeld im Zieglerspital integrieren und Hochfeldbunker schliessen!; Begründungsbericht";2018-223;Beschlossen;Kenntnis;03.05.2018
23;"Interfraktionelle Motion SP, GB/JA!, GLP, GFL/EVP, BDP/CVP (Michael Sutter, SP/Christina Anliker-Mansour, GB/Sandra Ryser, GLP/Daniela Lutz-Beck, GFL/Kurt Hirsbrunner, BDP): Schaffung einer Asylunterkunft im Gebäude des Zieglerspitals und Schliessung des Hochfelds; Begründungsbericht";2018-224;Beschlossen;Kenntnis;03.05.2018
24;"Interfraktionelle Motion Fraktion GB/JA!, SP (Cristina Anliker-Mansour, GB/Christa Ammann, AL/Michael Sutter, SP): Die NUK Hochfeld darf kein Dauerprovisorium werden; Begründungsbericht";2018-225;Beschlossen;Kenntnis;03.05.2018
25;Interfraktionelle Interpellation FDP, SVP (Jacqueline Gafner Wasem/Bernhard Eicher, FDP/Alexander Feuz/Roland Jakob, SVP): Unterirdische Asylunterkunft in der Zivilschutzanlage des Verteilzentrums Coop an der Riedbachstrasse 165 in 3027 Bern: Verletzt der Kanton Bern mehr als nur Anstandsregeln?;2018-226;Beschlossen;Kenntnis;03.05.2018
26;"Motion Fraktion GB/JA! (Leena Schmitter, GB/Lea Bill, JA!): Cannabis Social Clubs auch in Bern!; Begründungsbericht";2018-227;Beschlossen;Kenntnis;03.05.2018
27;"Motion Fraktion GB/JA! (Cristina Anliker-Mansour, GB): Mahlzeiten 1: Cateringlieferungsfirma mit Ausbildungsplätzen für erwerbslose AusländerInnen; Begründungsbericht";2018-228;Beschlossen;Kenntnis;03.05.2018
28;"Motion Fraktion GB/JA! (Regula Bühlmann, GB): Mahlzeiten 3: Lustvoller und gesunder Umgang mit Essen in Berner Kitas; Begründungsbericht";2018-229;Beschlossen;Kenntnis;03.05.2018
29;"Interfraktionelle Motion FDP, SP, BDP/CVP, GFL/EVP, GB/JA!, SVP (Bernhard Eicher FDP/Rithy Chheng SP/Kurt Hirsbrunner, BDP/Claudio Fischer, CVP/Janine Wicki, GFL/Bettina Jans-Troxler, EVP/Regula Tschanz, GB/Seraina Patzen, JA!/Ueli Jaisli, SVP): Kirchliche Gemeinschaftszentren sollen auch künftig für Gemeinwesenarbeit benützt werden können; Begründungsbericht";2018-230;Beschlossen;Kenntnis;03.05.2018
30;Strategie zur Förderung der beruflichen und sozialen Integration in der Stadt Bern 2018–2021;2018-231;Beschlossen;Kenntnis;03.05.2018
31;"Motion Fraktion SP/JUSO (Giovanna Battagliero/Miriam Schwarz, SP): Primano - definitive Einführung samt Nachfolgefinanzierung muss gesichert werden!; Abschreibung";2018-232;Beschlossen;Abschreibung;03.05.2018
32;Interpellation Fraktion FDP (Bernhard Eicher, FDP): Unseriöse Vermieter betreiben Sozialhilfemissbrauch: Was unternimmt die Stadt dagegen?;2018-233;Beschlossen;Kenntnis;03.05.2018
33;Interpellation Henri-Charles Beuchat und Rudolf Friedli (SVP): Ist die Studie zur Reitschule ein rot-grünes Gefälligkeitsgutachten?;2018-234;Beschlossen;Kenntnis;03.05.2018
34;Interpellation Henri-Charles Beuchat (SVP): Ist die Vertretung von Schulkommissionen als Mitglied in einer Quartiermitwirkung vom Gesetzgeber vorgesehen?;2018-235;Beschlossen;Kenntnis;03.05.2018
35;"Motion Fraktion GFL/EVP (Tania Espinoza/Lukas Gutzwiller, GFL): Energiewende konkret - Photovoltaikanteil in das Standardangebot von ewb aufnehmen; Abschreibung Punkt 2";2018-236;Beschlossen;Abschreibung;03.05.2018
36;Interpellation Fraktion SP/JUSO (Nora Krummen, SP/Tamara Funiciello, JUSO): Polizeieinsatz während des chinesischen Staatsbesuchs;2018-237;Beschlossen;Kenntnis;03.05.2018
37;Interpellation Freie Fraktion AL/GPB-DA/PdA (Christa Ammann, AL): Verantwortlichkeit, Rechtmässigkeit und Verhältnismässigkeit des Polizeieinsatzes und der Einschränkung der freien Meinungsäusserung rund um Staatsbesuche klären;2018-238;Beschlossen;Kenntnis;03.05.2018
38;"Interfraktionelle Motion GB/JA!, GLP (Lea Bill, JA!/Leena Schmitter, GB/Peter Ammann, GLP): Gleiche Rechte für alle: Kundgebungen während den eidgenössischen Sessionen auf dem Bundesplatz erlauben; Fristverlängerung";2018-239;Beschlossen;Fristverl.;03.05.2018
39;"Interfraktionelle Motion GB/JA!, SP, GFL/EVP (Leena Schmitter, GB/Seraina Patzen, JA!/Michael Sutter, SP/Manuel C. Widmer, GFL): Unabhängige Untersuchung zum Polizeieinsatz bei den Miss-Schweiz-Wahlen; Begründungsbericht";2018-240;Beschlossen;Kenntnis;03.05.2018
40;Interpellation Fraktion SP/JUSO (Yasemin Cevik/Michael Sutter, SP): Polizeieinsatz im Zusammenhang mit der Räumung der Liegenschaft Effingerstrasse 29 – war das verhältnismässig?;2018-241;Beschlossen;Kenntnis;03.05.2018
41;Interpellation Freie Fraktion AL/GPB-DA/PdA (Christa Ammann, AL): Effingerstrasse 29 – Räumung & Co. - Teil I;2018-242;Beschlossen;Kenntnis;03.05.2018
42;Interpellation Freie Fraktion AL/GPB-DA/PdA (Christa Ammann, AL): Effingerstrasse 29 – Räumung & Co. - Teil II;2018-243;Beschlossen;Kenntnis;03.05.2018
43;Interpellation Freie Fraktion AL/GPB-DA/PdA (Christa Ammann, AL): Effingerstrasse 29 – Räumung & Co. - Teil III;2018-244;Beschlossen;Kenntnis;03.05.2018
44;Interpellation Fraktion SVP (Rudolf Friedli, SVP): Stromfirmen müssen gemäss Bundesgericht Millionen an Kleinverbraucher zurückzahlen. Wann tut dies ewb? Droht der Stadt Bern ein Finanzloch?;2018-245;Beschlossen;Kenntnis;03.05.2018
45;Interpellation Fraktion SP (Johannes Wartenweiler/Ingrid Kissling-Näf, SP): Soziale und politische Anforderungen an Smart City Bern 2 – neue Unternehmen und soziale Verantwortung;2018-246;Beschlossen;Kenntnis;03.05.2018
46;Interpellation Fraktion SP (Halua Pinto de Magalhães/Johannes Wartenweiler, SP): Soziale und politische Anforderungen an Smart City Bern 1 – städtische Beschäftigte;2018-247;Beschlossen;Kenntnis;03.05.2018
47;Interpellation Fraktion SVP (Alexander Feuz, SVP): Villa Zähringerstrasse 24 als Asylunterkunft – offene Fragen zum Vorgehen der Stadt;2018-248;Beschlossen;Kenntnis;03.05.2018
48;Interpellation Fraktion SVP (Alexander Feuz, SVP): Villa Zähringerstrasse 22 als Asylunterkunft – offene Fragen zum Vorgehen der Stadt II;2018-249;Beschlossen;Kenntnis;03.05.2018
49;"Postulat Fraktion GLP (Melanie Mettler/Sandra Ryser, GLP): Etappierte Entwicklung auf dem Areal der Alten Feuerwehrkaserne; Fristverlängerung";2018-250;Beschlossen;Fristverl.;03.05.2018
50;"Motion Fraktion GB/JA! (Esther Oester/Stéphanie Penher, GB): Feuerwehrkaserne Viktoria: Gemeinnütziges Wohnen im Einklang mit quartierbelebendem Gewerbe ermöglichen; Fristverlängerung Punkt 1 und 3";2018-251;Beschlossen;Fristverl.;03.05.2018
51;"Postulat Fraktion GB/JA! (Esther Oester/Stéphanie Penher, GB): Feuerwehrkaserne Viktoria: Gemeinnütziges Wohnen im Einklang mit quartierbelebendem Gewerbe ermöglichen; Fristverlängerung Punkt 4";2018-252;Beschlossen;Fristverl.;03.05.2018
52;"Motion Fraktion GLP (Melanie Mettler/Sandra Ryser, GLP): Etappierte Entwicklung auf dem Areal der Alten Feuerwehrkaserne; Fristverlängerung Punkt 1, 2, 4, 6, 7 und 8";2018-253;Beschlossen;Fristverl.;03.05.2018
53;"Postulat Fraktion GB/JA! (Regula Tschanz, GB): Beratung von IAFP, Jahresbericht und Produktegruppen-Budget; Fristverlängerung";2018-254;Beschlossen;Fristverl.;03.05.2018
54;"Motion Aufsichtskommission AK (Kurt Hirsbrunner, BDP/Nicola von Greyerz, SP): PGB – Überprüfung von Kennzahlen, Steuerungsvorgaben und ""light""-Dienststellen; Fristverlängerung";2018-255;Beschlossen;Fristverl.;03.05.2018
55;"Postulat Fraktion FDP (Bernhard Eicher, FDP): Park Brückenstrasse für die Bevölkerung zugänglich machen; Fristverlängerung";2018-256;Beschlossen;Fristverl.;03.05.2018
56;"Motion Fraktion FDP (Alexandre Schmidt, FDP): Eine Sanierungsstrategie für die städtische Infrastruktur; Begründungsbericht";2018-257;Beschlossen;Kenntnis;03.05.2018
57;"Interfraktionelle Motion BDP/CVP, GFL/EVP (Martin Schneider, BDP/Manuel C. Widmer, GFL): Solarzellen auf möglichst viele städtische Dächer!; Abschreibung Punkt 3";2018-258;Beschlossen;Abschreibung;03.05.2018
58;Interpellation Ingrid Kissling-Näf (SP) und Ueli Jaisli (SVP): Wo bleibt der minimale Unterhalt fürs Marzili?;2018-259;Beschlossen;Kenntnis;03.05.2018
59;Interpellation Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Der Bauernhof in der Elfenau ein Erlebnisort für Stadtkinder und Jugendliche;2018-260;Beschlossen;Kenntnis;03.05.2018
60;Motion Fraktion GB/JA! (Katharina Gallizzi/Ursina Anderegg, GB): Für eine verantwortungsvolle Anlage der Rentengelder: Beitritt der PVK zum Verein für verantwortungsbewusste Kapitalanlagen (SVVK-ASIR);2018-261;Beschlossen;Erheblicherkl. als Postulat;03.05.2018
61;Interfraktionelle Interpellation SP, GFL/EVP (Peter Marbet, SP/Janine Wicki, GFL): Mit welchem Spielraum und mit welchen Konsequenzen lassen sich friedenspolitische Forderungen an die Anlagepolitik der PVK umsetzen?;2018-262;Beschlossen;Kenntnis;03.05.2018
62;Interfraktionelle Interpellation GB/JA!, GFL/EVP (Katharina Gallizzi, GB/Marcel Wüthrich, GFL/Bettina Jans-Troxler, EVP): „Carbon Bubble“: Wie hoch ist das finanzielle Risiko für Bern durch Investitionen in fossile Energien?;2018-263;Beschlossen;Kenntnis;03.05.2018
1;Protokollgenehmigung Stadtrat 2018 (Protokoll Nr. 07 vom 22.03.2018);2018-264;Beschlossen;Genehmigung;17.05.2018
2;Kleine Anfrage Fraktion BDP/CVP (Michel Daphinoff, CVP/Lionel Gaudy, BDP): Fragen zur Besetzung der Grossen Halle und zur Abstimmung über den Kredit von CHF 3 Mio. für die Sanierung;2018-265;Beschlossen;Kenntnis;17.05.2018
3;Kleine Anfrage Henri-Charles Beuchat (SVP): Leistungserfassung Eigenleistungen und Finanzkompetenzordnung bei dem Kulturfest vom 24. Januar 2018;2018-266;Beschlossen;Kenntnis;17.05.2018
4;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Neues Länggasstram: Entlastung Spitalgasse und Marktgasse durch zweite Tramachse?;2018-267;Beschlossen;Kenntnis;17.05.2018
5;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Neues Länggasstram: Was kümmert mich mein Geschwätz von gestern! Entlastung von Spitalgasse und Marktgasse oder bewusste Irreführung der Stimmbürger?;2018-268;Beschlossen;Kenntnis;17.05.2018
6;Kleine Anfrage Barbara Freiburghaus (FDP): Analyse des steigenden Freizeitverkehrs;2018-269;Beschlossen;Kenntnis;17.05.2018
7;Kleine Anfrage Barbara Freiburghaus (FDP): Prioritärer Winterdienst;2018-270;Beschlossen;Kenntnis;17.05.2018
8;Dringliche Motion Lionel Gaudy, Philip Kohli (BDP): Bei einem Amoklauf bringt das Posthorn nichts – mehr Sicherheit an Berner Schulen!;2018-271;Beschlossen;Ablehnung;17.05.2018
9;Dringliche Motion Fraktion GFL/EVP (Manuel C. Widmer, GFL/Bettina Jans-Troxler, EVP): Neustart jetzt: Sicherheits- und Alarmsystem an Schulen;2018-272;Beschlossen;Erheblicherkl. als Richtlinie;17.05.2018
10;Dringliche Motion Fraktion FDP/JF (Bernhard Eicher, FDP): Die Ecole française Internationale de Berne retten;2018-273;Beschlossen;Abschreibung;17.05.2018
11;TEAG Technologiepark-Immobilien AG (Morgenstrasse 128, 3018 Bern): Entwidmung und Übertragung vom Verwaltungs- ins Finanzvermögen;2018-274;Beschlossen;Bewilligung;17.05.2018
12;"Nutzung des städtischen Veloverleihsystems durch die Mitarbeitenden der Stadtverwaltung; Verpflichtungskredit und Nachkredit zum Globalbudget 2018 von Logistik Bern";2018-275;Beschlossen;Bewilligung;17.05.2018
13;Motion Fraktion SP/JUSO (Rithy Chheng, SP): Für mehr bezahlbare Wohnungen und fairere Mietverhältnisse in unserer Stadt dank Offenlegung des vorherigen Mietzinses;2018-276;Beschlossen;Erheblicherkl. als Richtlinie;17.05.2018
14;"Motion Fraktion SP (Rithy Chheng, SP): Charta – Zusammenarbeit zwischen der Stadt Bern und den gemeinnützigen Berner Wohnbauträgern; Begründungsbericht";2018-277;Beschlossen;Kenntnis;17.05.2018
15;Postulat Fraktion BDP/CVP (Milena Daphinoff, CVP/Andrin Soppelsa, BDP): Belebung der Altstadt durch Schaffung von neuem Wohnraum dank Verlagerung der städtischen Verwaltungseinrichtungen in periphere Stadtgebiete – ein prüfenswertes Szenario;2018-278;Beschlossen;Ablehnung;17.05.2018
16;Dringliche Interpellation Freie Fraktion AL/GaP/PdA (Luzius Theiler, GaP): Wettbewerb Viererfeld: Warum werden die Versprechungen in der Abstimmungsbotschaft nicht eingehalten?;2018-279;Beschlossen;Verschiebung;17.05.2018
17;Interfraktionelle Parlamentarische Initiative GLP/JGLP, FDP/JF, SVP, BDP/CVP, AL/GPB-DA/PdA (Melanie Mettler, GLP/Bernhard Eicher, FDP/Alexander Feuz, SVP/Philip Kohli, BDP/Daniel Egloff, PdA): Neutrales Wahlverfahren bei den Stadtberner Wahlen;2018-280;Beschlossen;Ablehnung;17.05.2018
18;Postulat Fraktion SP (Benno Frauchiger/Martin Krebs, SP): Alternative Arbeitszeitmodelle auch in der Exekutive: Einführung der Möglichkeit einer Teamkandidatur für den Gemeinderat;2018-281;Beschlossen;Verschiebung;17.05.2018
19;Postulat Fraktion SP (Gisela Vollmer, SP): Günstigen Wohnraum im Bestand erhalten;2018-282;Beschlossen;Verschiebung;17.05.2018
20;Postulat Fraktion SVP (Alexander Feuz/Kurt Rüegsegger/Hans Ulrich Gränicher, SVP): Fertig Luxusbauen! Bedürfnisse der Benutzer und Steuerzahler vermehrt berücksichtigen!;2018-283;Beschlossen;Verschiebung;17.05.2018
21;Interpellation Fraktion GB/JA! (Stéphanie Penher, GB): Anteil gemeinnütziger Wohnraum in der Stadt Bern;2018-284;Beschlossen;Verschiebung;17.05.2018
1;Protokollgenehmigung Stadtrat 2018 (Protokoll Nr. 08 vom 05.04.2018);2018-285;Beschlossen;Genehmigung;31.05.2018
2;Kleine Anfrage Tabea Rai (AL): Dossier Kundgebungen: Ist das Verhalten des Sicherheitsdirektors noch tragbar?;2018-286;Beschlossen;Kenntnis;31.05.2018
3;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Besetzung der Grossen Halle: Wer zahlt die Folgekosten?;2018-287;Beschlossen;Kenntnis;31.05.2018
4;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Reithalle: Verbannung von «we love Techno», wer reagiert: das Umfeld, das Recht oder der Terror?;2018-288;Beschlossen;Kenntnis;31.05.2018
5;Kleine Anfrage Thomas Berger (JF): Verzichtet die Grosse Halle freiwillig auf Einnahmen?;2018-289;Beschlossen;Kenntnis;31.05.2018
6;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Bewertung durch Moody's: Kosten? Selbsteinschätzung der Finanzlage durch den Gemeinderat?;2018-290;Beschlossen;Kenntnis;31.05.2018
7;Dringliche Interpellation Freie Fraktion AL/GaP/PdA (Luzius Theiler, GaP): Wettbewerb Viererfeld: Warum werden die Versprechungen in der Abstimmungsbotschaft nicht eingehalten?;2018-291;Beschlossen;Kenntnis;31.05.2018
8;Integrierter Aufgaben- und Finanzplan 2019 – 2022;2018-292;Beschlossen;Unterbruch;31.05.2018
9;"Interfraktionelles Postulat SVP, BDP/CVP, FDP (Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP/Christoph Zimmerli, FDP): Die alarmierende Zunahme der Verschuldung muss gebremst werden; Prüfungsbericht (Bericht zur Verschuldungssituation der Stadt Bern)";2018-293;Beschlossen;Verschiebung;31.05.2018
10;Dringliches interfraktionelles Postulat BDP/CVP, FDP/JF, SVP (Lionel Gaudy, BDP/Barbara Freiburghaus, FDP/Kurt Rüegsegger, SVP): Verkehrsregime Guisanplatz – Planung mit Verstand;2018-294;Beschlossen;Verschiebung;31.05.2018
11;Motion Fraktion SVP (Alexander Feuz, SVP): Velowege an der Aare: Stopp unnötiger Planungskosten!;2018-295;Beschlossen;Verschiebung;31.05.2018
12;Motion Fraktion SP (Michael Sutter/David Stampfli, SP): Friedliches Nebeneinander von Fussgängerinnen und Velofahrern zwischen Schönausteg und Eichholz;2018-296;Beschlossen;Verschiebung;31.05.2018
13;Postulat Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Erhöhen der Verkehrssicherheit für Fussgängerinnen und Fussgänger in der Berner Innenstadt durch Beschränken der Fahrgeschwindigkeit der Velofahrenden und/oder das Erlassen von Fahrverboten an stark frequentierten Orten;2018-297;Beschlossen;Verschiebung;31.05.2018
14;Interpellation Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher/Roland Jakob, SVP): Besserer Schutz der Fussgänger in der Stadt Bern vor Velorowdys und E-Bikes!;2018-298;Beschlossen;Verschiebung;31.05.2018
15;Interpellation Fraktion SVP (Rudolf Friedli, SVP): Verbilligte Velostationsabonnemente als Wahlgeschenke?;2018-299;Beschlossen;Verschiebung;31.05.2018
16;Interfraktionelle Motion SP, GB/JA! (David Stampfli, SP/Cristina Anliker-Mansour, GB): Tempo 30 auf der Achse Viktoriarain-Viktoriastrasse;2018-300;Beschlossen;Verschiebung;31.05.2018
17;Postulat Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Schaffung neuer Begegnungszonen in Bern: Auch Hauseigentümer und Dienstbarkeitsberechtigte frühzeitig in den Entscheidungsprozess einbeziehen!;2018-301;Beschlossen;Verschiebung;31.05.2018
18;Postulat Henri Beuchat und Alexander Feuz (SVP): Bettelnde Tram-Musiker nerven Passagiere in der Stadt Bern;2018-302;Beschlossen;Verschiebung;31.05.2018
1;Protokollgenehmigung Stadtrat 2018 (Protokoll Nr. 09 vom 26.04.2018);2018-303;Beschlossen;Genehmigung;14.06.2018
2;Kleine Anfrage Milena Daphinoff (CVP): Trauerspiel in der Sparte Schauspiel I;2018-304;Beschlossen;Kenntnis;14.06.2018
3;Kleine Anfrage Milena Daphinoff (CVP): Trauerspiel in der Sparte Schauspiel II;2018-305;Beschlossen;Kenntnis;14.06.2018
4;Kleine Anfrage Michael Daphinoff/Milena Daphinoff (CVP): Rettet das Radio-Studio Bern – Was tut der Gemeinderat?;2018-306;Beschlossen;Kenntnis;14.06.2018
5;Kleine Anfrage Christa Ammann (AL): Fragen zur Kommunikation rund um die Afrin-Kundgebung vom 7. April 2018;2018-307;Beschlossen;Kenntnis;14.06.2018
6;Kleine Anfrage Fraktion SVP (Alexander Feuz/Kurt Rüegsegger, SVP): Verkehrsberuhigung Brunnadern-/Elfenauquartier: offene Fragen!;2018-308;Beschlossen;Kenntnis;14.06.2018
7;Kleine Anfrage Fraktion SVP (Alexander Feuz/Kurt Rüegsegger, SVP): Velo/Fussgänger-Mischverkehr auf den Trottoirs der Thunstrasse: Was gilt?;2018-309;Beschlossen;Kenntnis;14.06.2018
8;Kleine Anfrage Fraktion SVP (Alexander Feuz/Kurt Rüegsegger, SVP): Sanierung Thunstrasse: Werden die Fussgänger in Zukunft wirksam geschützt oder muss zuerst ein Unfall passieren? Trial and error?;2018-310;Beschlossen;Kenntnis;14.06.2018
9;Kleine Anfrage Christa Ammann (AL): Entfernung von Transparenten bei der Grossen Halle;2018-311;Beschlossen;Kenntnis;14.06.2018
10;Dringliches interfraktionelles Postulat BDP/CVP, FDP/JF, SVP (Lionel Gaudy, BDP/Barbara Freiburghaus, FDP/Kurt Rüegsegger, SVP): Verkehrsregime Guisanplatz – Planung mit Verstand;2018-312;Beschlossen;Teilweise Erheblicherkl.;14.06.2018
11;Integrierter Aufgaben- und Finanzplan 2019 - 2022;2018-313;Beschlossen;Kenntnis;14.06.2018
12;"Interfraktionelles Postulat SVP, BDP/CVP, FDP (Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP/Christoph Zimmerli, FDP): Die alarmierende Zunahme der Verschuldung muss gebremst werden; Prüfungsbericht (Bericht zur Verschuldungssituation der Stadt Bern)";2018-314;Beschlossen;Kenntnis;14.06.2018
13;"Polizeiinspektorat (Dienststelle 230); Nachkredit zum Globalbudget 2017";2018-315;Beschlossen;Bewilligung;14.06.2018
14;"Reglement über die Planungsmehrwertabgabe (Planungsmehrwertabgabereglement, PMAR); Erlass; 2. Lesung";2018-316;Beschlossen;Genehmigung;14.06.2018
15;"Volksschule Breitenrain: Anpassungen für drei Basisstufen- und drei Primarklassen; Baukredit";2018-317;Beschlossen;Bewilligung;14.06.2018
16;"Neue Fallführungssoftware citysoftnet für den Sozialbereich; Investitions- und Verpflichtungskredit (Abstimmungsbotschaft)";2018-318;Beschlossen;Bewilligung;14.06.2018
17;"Logistik Bern; Nachkredit zum Globalbudget 2017";2018-319;Beschlossen;Bewilligung;14.06.2018
18;Motion Fraktion AL/GPB-DA/PdA+ (Christa Ammann, AL): Ein Haus der Vereine im Ringhof!;2018-320;Beschlossen;Erheblicherkl.;14.06.2018
19;Dringliche interfraktionelle Motion FDP/JF, BDP/CVP (Barbara Freiburghaus, FDP/Michael Daphinoff, CVP): Eine echte Generationenbrücke für künftige Generationen statt Velobrücke und/oder Panoramasteg;2018-321;Beschlossen;Verschiebung;14.06.2018
20;Motion Fraktion SVP (Alexander Feuz, SVP): Velowege an der Aare: Stopp unnötiger Planungskosten!;2018-322;Beschlossen;Verschiebung;14.06.2018
21;Motion Fraktion SP (Michael Sutter/David Stampfli, SP): Friedliches Nebeneinander von Fussgängerinnen und Velofahrern zwischen Schönausteg und Eichholz;2018-323;Beschlossen;Verschiebung;14.06.2018
22;Postulat Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Erhöhen der Verkehrssicherheit für Fussgängerinnen und Fussgänger in der Berner Innenstadt durch Beschränken der Fahrgeschwindigkeit der Velofahrenden und/oder das Erlassen von Fahrverboten an stark frequentierten Orten;2018-324;Beschlossen;Verschiebung;14.06.2018
23;Interpellation Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher/Roland Jakob, SVP): Besserer Schutz der Fussgänger in der Stadt Bern vor Velorowdys und E-Bikes!;2018-325;Beschlossen;Verschiebung;14.06.2018
24;Interpellation Fraktion SVP (Rudolf Friedli, SVP): Verbilligte Velostationsabonnemente als Wahlgeschenke?;2018-326;Beschlossen;Verschiebung;14.06.2018
1;Protokollgenehmigung Stadtrat 2018 (Protokoll Nr. 10 vom 03.05.2018 und Protokoll Nr. 11 vom 17.05.2018);2018-327;Beschlossen;Genehmigung;28.06.2018
2;Aufsichtskommission (AK): Ersatzwahl;2018-328;Beschlossen;Wahl;28.06.2018
3;Kommission für Finanzen, Sicherheit und Umwelt (FSU): Ersatzwahl;2018-329;Beschlossen;Wahl;28.06.2018
4;Agglomerationskommission (AKO): Ersatzwahl;2018-330;Beschlossen;Wahl;28.06.2018
5;BERNMOBIL: Ersatzwahl Verwaltungsrat für die Amtsdauer bis Ende 2020 (Ersatzwahl Sedlmayer);2018-331;Beschlossen;Wahl;28.06.2018
