"TIV of arms imports to the top 50 largest importers, 1950-2017"
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions
Figures may not add up due to the conventions of rounding.
A '0' indicates that the value of deliveries is less than 0.5m
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/"

Source: SIPRI Arms Transfers Database
Generated: 24 July 2018


Rank 1950-2017,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1950-2017
28,UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,93,106,144,270,294,207,18,203,430,159,164,312,128,137,199,42,652,559,235,201,579,566,419,480,688,758,437,247,186,222,685,1211,2171,2023,919,753,561,607,1210,1088,2241,746,1249,1286,848,26873
29,Viet Nam,,,,,10,33,23,73,44,20,65,101,47,107,269,564,1016,1039,1177,950,1310,1364,1496,1175,731,485,42,42,227,1257,1025,1085,529,913,554,28,78,50,65,128,116,,,,,281,212,110,220,163,7,99,58,22,298,214,41,8,187,61,152,1021,788,362,1218,862,858,690,26165
30,Spain,1,,,78,89,218,272,288,136,295,231,112,55,14,60,401,277,279,128,187,237,601,751,906,580,1185,831,280,492,658,692,631,517,609,88,338,1111,1110,1958,859,709,112,212,303,858,359,429,216,87,373,321,156,277,253,315,363,315,339,349,233,288,187,244,175,128,143,86,72,25457
31,North Korea,862,365,197,660,228,369,444,393,882,641,487,88,200,215,186,135,855,854,1299,605,623,1560,562,640,922,636,502,312,369,232,416,263,549,511,283,1040,1097,849,854,595,295,198,137,93,35,143,78,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,,,,,24060
32,Bulgaria,156,63,93,345,617,307,319,456,631,165,474,523,494,538,326,372,218,329,250,532,765,395,465,290,305,394,375,492,885,322,574,961,575,728,910,598,918,435,243,334,759,340,41,1,1,1,122,,,7,,,,2,12,132,22,48,116,119,8,29,5,,,3,,,19940
33,France,218,988,1144,1699,1409,1342,1240,701,1086,852,507,356,153,63,1185,255,76,93,113,101,124,141,93,116,52,45,233,250,278,64,70,101,137,103,68,15,96,84,137,107,60,944,420,91,75,97,64,223,174,110,107,66,43,57,93,2,67,74,5,76,103,33,91,107,17,42,45,65,19244
34,Indonesia,212,58,14,6,16,25,42,26,621,679,436,895,1068,180,518,338,16,1,1,9,28,92,5,73,73,4,156,60,126,377,910,797,360,228,100,289,432,264,294,248,202,11,52,215,472,285,380,108,90,165,151,27,68,356,79,36,65,587,244,441,225,250,213,797,1187,445,389,1196,18809
35,Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,546,238,527,375,112,170,183,306,171,624,816,318,798,255,236,87,380,542,73,358,1116,1470,988,925,839,791,66,147,718,428,18212
36,Romania,8,79,438,904,629,370,457,193,117,108,138,41,195,227,418,518,401,442,603,411,573,487,513,551,695,658,295,349,298,645,528,478,448,285,241,332,450,215,193,276,606,63,184,14,29,2,39,61,170,142,21,19,16,17,285,437,61,98,76,56,107,80,21,20,0,22,186,99,18132
37,Belgium,198,485,920,704,411,361,682,681,888,176,92,132,188,569,644,507,101,35,216,232,528,509,512,599,111,128,177,180,427,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,56,21,15,3,27,174,203,90,32,21,32,46,103,56,4,3,17775
38,Yugoslavia,,182,490,525,534,334,320,366,112,180,259,175,397,624,463,549,544,693,681,586,554,486,328,163,156,565,526,594,406,763,495,440,631,576,282,354,343,328,712,331,310,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,17500
39,Brazil,,615,,133,113,379,55,152,140,129,237,212,62,128,25,150,57,218,236,110,219,181,514,602,256,539,582,554,895,407,367,64,75,92,125,89,140,234,129,745,150,168,90,58,313,248,545,473,239,365,121,631,223,110,86,224,179,189,180,156,317,312,311,223,218,222,116,103,16529
40,Norway,171,69,426,419,19,168,282,142,144,110,145,103,86,227,260,371,766,686,280,518,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,14,6,14,554,591,624,588,159,614,149,62,21,153,151,361,15738
41,Afghanistan,,,,,,4,3,92,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,283,363,355,385,298,239,380,165,299,575,1065,2176,1900,1438,,,,,,,,,,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,250,15596
42,Hungary,56,53,13,802,700,223,1,59,259,331,599,575,290,379,747,667,150,290,271,447,22,247,121,402,567,498,378,394,589,485,387,144,142,117,251,229,79,80,35,59,14,22,,925,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,,14,7,14096
43,Thailand,58,87,59,44,60,34,10,90,15,10,28,57,111,110,97,89,112,151,67,134,213,239,201,340,97,77,148,104,319,176,306,315,83,325,387,188,165,575,643,270,229,572,497,185,613,528,736,941,76,167,85,117,152,131,114,70,47,8,13,64,49,267,285,378,105,172,344,310,13847
44,Peru,2,24,76,,111,26,171,117,30,175,191,96,14,24,18,58,60,28,197,89,35,156,159,465,680,658,378,939,668,642,710,870,278,322,364,333,248,603,241,16,97,108,126,42,175,46,124,312,52,97,24,5,16,22,47,368,193,172,,43,46,63,10,22,152,210,220,64,13123
45,Venezuela,61,,20,190,176,30,399,285,120,7,86,,32,37,2,,37,236,20,7,11,129,173,400,254,225,176,221,59,15,375,921,704,242,241,517,116,46,101,118,170,316,65,39,1,5,35,37,8,85,108,103,50,15,9,21,380,774,737,358,208,594,680,1039,185,216,93,,13117
46,Sweden,225,299,317,390,454,559,574,219,245,198,129,57,133,307,397,289,280,326,226,138,108,86,161,231,256,292,214,100,197,247,246,452,171,179,106,85,154,159,125,103,90,49,60,39,297,95,95,195,294,224,204,165,75,64,47,78,127,50,51,57,51,191,206,52,43,28,77,38,12469
47,Switzerland,154,151,315,169,142,230,313,223,232,289,219,37,4,50,261,226,362,165,188,157,135,149,186,116,64,138,143,5,214,222,269,290,172,437,399,337,108,151,179,319,440,476,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,18,39,48,32,11,6,1,2,64,34,12136
48,Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,396,236,450,147,494,176,559,451,445,867,421,1322,685,450,229,224,71,14,169,,27,14,209,43,28,105,172,267,213,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,49,12057
49,South Africa,37,73,183,53,49,106,265,173,169,68,13,,215,476,266,353,468,260,179,173,474,272,227,316,171,223,415,507,390,130,200,122,49,226,127,29,211,16,7,13,13,27,363,244,239,38,38,11,,21,6,18,,,,267,785,954,493,134,180,212,132,2,50,2,4,,11934
50,Cuba,,9,0,0,3,13,35,8,23,10,129,529,1288,298,246,130,232,162,155,155,155,162,462,430,418,200,317,615,509,416,353,976,981,775,423,352,281,73,167,94,169,159,,,,,,,,,,,,,,,,,,,,,,,,,,,11908

,Others,270,484,812,1120,759,965,1177,982,1201,815,1310,1513,1198,1541,1564,2111,2320,2212,1970,2569,3329,4023,4302,2942,2967,4786,4466,5519,5984,5613,6995,6061,8587,7895,8412,5900,3930,4159,3880,2921,2703,3532,2618,3176,3128,4066,4190,5281,3136,4507,3643,3211,2658,2479,2983,3543,4238,4173,3269,5426,5067,6544,5310,4719,5967,5908,6557,5657,247252
,Total,8633,12419,16504,22504,20933,19839,24027,23381,25898,21497,17487,16498,17471,19937,26357,24949,24769,25478,26103,28457,25639,32780,34391,35884,36287,37533,35284,39780,42869,38119,41860,45229,45727,43985,41611,38372,39176,39589,36828,35291,30060,28239,24129,25775,22853,22942,23911,28873,27791,25236,19387,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,1896897
