1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,520,410,144,69,94,72,250,2204
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,55,,,,,,,,,,,,,22,,22,,105
Cuba,,9,0,0,3,13,35,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,,,13
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,29,18,,40,0,,14,1,2,3,2,0,,0,,,156
Denmark,17,36,326,390,30,57,68,60,53,250,109,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,41,42,142,57,399,433,441,218,59,77,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,40,18,8,140,26,8,85,6,0,,,36,32,32,46,108,48,5884
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,1,,6
Dominican Republic,2,11,10,21,2,,1,1,2,4,16,11,,7,4,10,9,1,,,1,2,7,0,,2,12,,,,9,5,30,,25,0,,,2,,,,,,,,4,,6,,,5,0,8,35,,,,,,,,,,,1,0,,268
DR Congo,,,,,,,,,,,,9,5,28,77,25,16,16,7,,,72,,,,89,2,31,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,422
Ecuador,,,,11,,,6,,13,,66,,,3,3,29,9,21,5,1,5,2,,5,2,5,60,91,22,11,133,6,5,15,39,8,,18,17,4,3,21,,18,4,22,,43,6,,,,0,,,4,,,,1,10,,,,,,,,747
Egypt,24,,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,9,339,414,890,1369,985,386,457,1043,1145,306,205,430,841,929,1007,1794,1644,769,895,458,456,823,809,477,345,500,590,455,396,263,82,249,160,177,494,182,593,256,189,24004
El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,,10,14,10,8,1,1,6,5,32,11,60,44,5,,,,,21,4,,,4,4,,2,,,,19,10,,,,,,,,,2,,,,,,329
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,5,,10,,,,18
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,11,,,,,,,,,,,,2,2,2,21
Ethiopia,,,,6,,,1,15,23,6,17,3,16,27,4,12,97,25,33,1,66,45,5,5,16,51,108,22,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,10,,,,649
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,0,,,,36,36,,150,344,391,536,761,467,,5,,,,,,9,9,9,2,,75,44,98,106,53,3161
France,218,466,578,1060,1051,1086,1142,650,1051,795,470,318,136,63,1163,241,37,39,47,71,94,103,78,85,20,13,230,239,230,,,,,4,,,,84,117,87,26,817,314,18,5,5,3,82,139,93,70,66,20,17,78,2,2,,2,,51,23,39,55,17,17,32,52,14105
Gabon,,,,,,,,,,,,,,,,,,,,3,,,,,,35,29,28,2,,,32,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,136
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2,4,,,,,1,,,7,21
